state,district,year,max_murder
"UTTAR PRADESH",MAINPURI,2001,136
BIHAR,SAMASTIPUR,2003,136
TRIPURA,WEST,2003,136
BIHAR,GAYA,2008,136
"UTTAR PRADESH",BAREILLY,2009,136
BIHAR,MOTIHARI,2011,136
JHARKHAND,CHAIBASA,2011,136
KARNATAKA,BELGAUM,2011,136
"WEST BENGAL",NADIA,2011,136
"WEST BENGAL",NADIA,2009,135
MAHARASHTRA,"THANE RURAL",2010,135
"ANDHRA PRADESH",NIZAMABAD,2011,135
"MADHYA PRADESH",INDORE,2011,135
BIHAR,BHOJPUR,2001,135
"UTTAR PRADESH",FIROZABAD,2001,135
"UTTAR PRADESH",HARDOI,2002,135
"DELHI UT","NORTH WEST",2002,135
"ANDHRA PRADESH",NALGONDA,2007,135
"DELHI UT","NORTH WEST",2001,134
JHARKHAND,CHAIBASA,2002,134
JHARKHAND,CHAIBASA,2004,134
"ANDHRA PRADESH",KHAMMAM,2006,134
"ANDHRA PRADESH",MEDAK,2006,134
BIHAR,MUZAFFARPUR,2006,134
BIHAR,SARAN,2006,134
"ANDHRA PRADESH",KARIMNAGAR,2008,134
MAHARASHTRA,AHMEDNAGAR,2008,134
"WEST BENGAL",MURSHIDABAD,2008,134
"ANDHRA PRADESH","HYDERABAD CITY",2010,134
"WEST BENGAL",BURDWAN,2010,134
"UTTAR PRADESH",MORADABAD,2009,133
"UTTAR PRADESH",ALLAHABAD,2010,133
"ANDHRA PRADESH",KURNOOL,2001,133
MAHARASHTRA,"THANE COMMR.",2001,133
"WEST BENGAL",BURDWAN,2001,133
"MADHYA PRADESH",JHABUA,2002,133
BIHAR,BHAGALPUR,2004,133
"ANDHRA PRADESH",MEDAK,2005,133
"UTTAR PRADESH",FATEHPUR,2001,132
BIHAR,ROHTAS,2002,132
MAHARASHTRA,"PUNE RURAL",2004,132
"ANDHRA PRADESH",KURNOOL,2006,132
"ANDHRA PRADESH",NALGONDA,2006,132
"UTTAR PRADESH",ALLAHABAD,2006,132
"WEST BENGAL",MURSHIDABAD,2007,132
"MADHYA PRADESH",INDORE,2009,132
BIHAR,ROHTAS,2010,132
BIHAR,ROHTAS,2012,132
"WEST BENGAL",HOOGHLY,2012,132
"ANDHRA PRADESH",WARANGAL,2002,131
JHARKHAND,GUMLA,2003,131
BIHAR,MUZAFFARPUR,2005,131
"UTTAR PRADESH",KHIRI,2005,131
"WEST BENGAL","24 PARGANAS SOUTH",2005,131
"TAMIL NADU",CHENNAI,2006,131
"WEST BENGAL",MURSHIDABAD,2001,130
BIHAR,MUZAFFARPUR,2002,130
BIHAR,ROHTAS,2004,130
"WEST BENGAL","24 PARGANAS SOUTH",2004,130
MAHARASHTRA,"PUNE RURAL",2007,130
"UTTAR PRADESH",MORADABAD,2007,130
"UTTAR PRADESH",BAREILLY,2008,130
"UTTAR PRADESH",LUCKNOW,2008,130
"UTTAR PRADESH",ALIGARH,2010,130
"ANDHRA PRADESH",KHAMMAM,2012,130
"WEST BENGAL",BURDWAN,2009,129
MAHARASHTRA,"PUNE COMMR.",2010,129
JHARKHAND,CHAIBASA,2003,129
"UTTAR PRADESH",SITAPUR,2003,129
"DELHI UT","NORTH WEST",2004,129
"MADHYA PRADESH",JHABUA,2005,129
JHARKHAND,CHAIBASA,2006,129
"ANDHRA PRADESH",CHITTOOR,2007,129
BIHAR,BHAGALPUR,2001,128
MAHARASHTRA,"THANE COMMR.",2002,128
"ANDHRA PRADESH",WARANGAL,2003,128
KARNATAKA,"BANGALORE RURAL",2003,128
BIHAR,PURNEA,2004,128
BIHAR,BEGUSARAI,2005,128
"DELHI UT",NORTH-WEST,2005,128
"DELHI UT",NORTH-WEST,2006,128
"ANDHRA PRADESH",MEDAK,2007,128
MAHARASHTRA,"THANE RURAL",2007,128
BIHAR,VAISHALI,2010,128
"ANDHRA PRADESH",KARIMNAGAR,2012,128
BIHAR,SARAN,2012,128
JHARKHAND,CHAIBASA,2008,127
BIHAR,MOTIHARI,2009,127
"UTTAR PRADESH",AGRA,2009,127
MAHARASHTRA,"THANE COMMR.",2011,127
BIHAR,ROHTAS,2001,127
MAHARASHTRA,"PUNE RURAL",2003,127
"ANDHRA PRADESH",MEDAK,2004,127
"UTTAR PRADESH",MAINPURI,2004,127
BIHAR,BHOJPUR,2006,127
"UTTAR PRADESH",FIROZABAD,2006,127
JHARKHAND,CHAIBASA,2007,127
"UTTAR PRADESH",UNNAO,2002,126
"UTTAR PRADESH",AGRA,2003,126
"ANDHRA PRADESH",CHITTOOR,2006,126
JHARKHAND,GUMLA,2006,126
MAHARASHTRA,"PUNE COMMR.",2007,126
"UTTAR PRADESH",SHAHJAHANPUR,2007,126
"UTTAR PRADESH",MORADABAD,2008,126
"WEST BENGAL",JALPAIGURI,2008,126
BIHAR,BEGUSARAI,2010,126
BIHAR,ROHTAS,2011,126
JHARKHAND,KHUNTI,2011,126
"UTTAR PRADESH",MUZAFFARNAGAR,2011,126
"UTTAR PRADESH",MUZAFFARNAGAR,2012,126
"MADHYA PRADESH",INDORE,2008,125
MAHARASHTRA,"PUNE RURAL",2009,125
TRIPURA,WEST,2001,125
"UTTAR PRADESH",MATHURA,2001,125
"ANDHRA PRADESH",KURNOOL,2003,125
BIHAR,BHOJPUR,2003,125
"WEST BENGAL","24 PARGANAS SOUTH",2003,125
ASSAM,DIBRUGARH,2004,125
BIHAR,SIWAN,2004,125
"UTTAR PRADESH",AGRA,2004,125
BIHAR,SARAN,2005,125
"ANDHRA PRADESH","HYDERABAD CITY",2006,125
"ANDHRA PRADESH",KHAMMAM,2007,125
BIHAR,BEGUSARAI,2001,124
"MADHYA PRADESH",JHABUA,2001,124
"UTTAR PRADESH",BIJNOR,2001,124
"WEST BENGAL",NADIA,2001,124
"ANDHRA PRADESH",KURNOOL,2002,124
"ANDHRA PRADESH","HYDERABAD CITY",2003,124
"ANDHRA PRADESH",MEDAK,2003,124
MAHARASHTRA,"PUNE RURAL",2006,124
"UTTAR PRADESH",SITAPUR,2006,124
"ANDHRA PRADESH",KURNOOL,2007,124
KARNATAKA,BELGAUM,2008,124
"ANDHRA PRADESH",NALGONDA,2009,124
KARNATAKA,BELGAUM,2010,124
"WEST BENGAL",HOOGHLY,2010,124
BIHAR,MOTIHARI,2012,124
"UTTAR PRADESH",AGRA,2007,123
"UTTAR PRADESH",FIROZABAD,2007,123
"ANDHRA PRADESH",CHITTOOR,2008,123
"ANDHRA PRADESH",KHAMMAM,2008,123
BIHAR,SARAN,2011,123
"MADHYA PRADESH",INDORE,2012,123
"UTTAR PRADESH",MAINPURI,2002,123
"UTTAR PRADESH",MATHURA,2002,123
"WEST BENGAL",MURSHIDABAD,2002,123
"ANDHRA PRADESH",KARIMNAGAR,2004,123
"UTTAR PRADESH",FIROZABAD,2004,123
"UTTAR PRADESH",UNNAO,2004,123
MAHARASHTRA,"PUNE RURAL",2005,123
"TAMIL NADU",CHENNAI,2005,123
"UTTAR PRADESH",AGRA,2006,123
"ANDHRA PRADESH",KARIMNAGAR,2007,123
"ANDHRA PRADESH",NALGONDA,2001,122
MAHARASHTRA,"THANE RURAL",2002,122
"UTTAR PRADESH",FIROZABAD,2005,122
"WEST BENGAL",BURDWAN,2007,122
"WEST BENGAL",JALPAIGURI,2007,122
"ANDHRA PRADESH","HYDERABAD CITY",2008,122
MAHARASHTRA,"THANE COMMR.",2009,122
MAHARASHTRA,AHMEDNAGAR,2010,122
BIHAR,VAISHALI,2012,122
"ANDHRA PRADESH",NALGONDA,2008,121
"ANDHRA PRADESH",WARANGAL,2008,121
"UTTAR PRADESH",FIROZABAD,2008,121
"WEST BENGAL",NADIA,2010,121
"JAMMU & KASHMIR",BARAMULLA,2002,121
"ANDHRA PRADESH","HYDERABAD CITY",2004,121
BIHAR,SAMASTIPUR,2005,121
"ANDHRA PRADESH","HYDERABAD CITY",2007,121
KARNATAKA,BELGAUM,2001,120
"UTTAR PRADESH",AZAMGARH,2001,120
"UTTAR PRADESH",FATEHGARH,2001,120
"WEST BENGAL",MIDNAPUR,2001,120
BIHAR,MUZAFFARPUR,2003,120
BIHAR,MOTIHARI,2004,120
BIHAR,VAISHALI,2007,120
MAHARASHTRA,"THANE COMMR.",2007,120
BIHAR,MOTIHARI,2008,120
BIHAR,NALANDA,2008,120
"ANDHRA PRADESH",MEDAK,2009,120
"ANDHRA PRADESH",CUDDAPAH,2011,120
BIHAR,BEGUSARAI,2012,120
BIHAR,SARAN,2008,119
MAHARASHTRA,"PUNE COMMR.",2009,119
BIHAR,SAMASTIPUR,2010,119
JHARKHAND,CHAIBASA,2010,119
"UTTAR PRADESH",BULANDSHAHAR,2010,119
"UTTAR PRADESH",LUCKNOW,2011,119
MAHARASHTRA,"PUNE RURAL",2001,119
BIHAR,SAMASTIPUR,2002,119
"MADHYA PRADESH",JHABUA,2003,119
"UTTAR PRADESH",ALLAHABAD,2003,119
BIHAR,BHAGALPUR,2006,119
BIHAR,MOTIHARI,2006,119
BIHAR,VAISHALI,2003,118
"ANDHRA PRADESH",NALGONDA,2004,118
BIHAR,SAMASTIPUR,2004,118
"WEST BENGAL",JALPAIGURI,2004,118
"ANDHRA PRADESH",KHAMMAM,2009,118
JHARKHAND,CHAIBASA,2009,118
"UTTAR PRADESH",BULANDSHAHAR,2009,118
"ANDHRA PRADESH",NALGONDA,2010,118
"ANDHRA PRADESH",CUDDAPAH,2012,118
"WEST BENGAL",MALDA,2012,118
"UTTAR PRADESH",FIROZABAD,2009,117
BIHAR,NALANDA,2010,117
"UTTAR PRADESH",AGRA,2010,117
"WEST BENGAL",JALPAIGURI,2010,117
"ANDHRA PRADESH","HYDERABAD CITY",2011,117
"WEST BENGAL",JALPAIGURI,2012,117
"ANDHRA PRADESH","HYDERABAD CITY",2002,117
BIHAR,SIWAN,2002,117
ASSAM,TINSUKIA,2004,117
"ANDHRA PRADESH",WARANGAL,2005,117
"MADHYA PRADESH",JHABUA,2006,117
BIHAR,SIWAN,2001,116
"WEST BENGAL",MURSHIDABAD,2003,116
"UTTAR PRADESH",HARDOI,2004,116
KARNATAKA,BELGAUM,2005,116
"ANDHRA PRADESH",WARANGAL,2006,116
"ANDHRA PRADESH",KURNOOL,2008,116
"UTTAR PRADESH",BAREILLY,2011,116
"UTTAR PRADESH",BAREILLY,2010,115
"WEST BENGAL",PURULIA,2010,115
"UTTAR PRADESH",ALLAHABAD,2012,115
"UTTAR PRADESH",PILIBHIT,2001,115
ASSAM,TINSUKIA,2002,115
BIHAR,SARAN,2003,115
MAHARASHTRA,"THANE COMMR.",2004,115
JHARKHAND,CHAIBASA,2005,115
KARNATAKA,GULBARGA,2005,115
"UTTAR PRADESH",AGRA,2005,115
"WEST BENGAL",MURSHIDABAD,2005,115
"UTTAR PRADESH",SHAHJAHANPUR,2006,115
BIHAR,MOTIHARI,2001,114
"ANDHRA PRADESH",CUDDAPAH,2008,114
ASSAM,TINSUKIA,2008,114
"UTTAR PRADESH",SHAHJAHANPUR,2008,114
BIHAR,NALANDA,2009,114
"UTTAR PRADESH",LUCKNOW,2009,114
"UTTAR PRADESH",LUCKNOW,2010,114
MAHARASHTRA,"NAGPUR COMMR.",2011,114
BIHAR,NALANDA,2012,114
"UTTAR PRADESH",BAREILLY,2012,114
